scenario,parameter,prcc,p_value,rank_abs_prcc,interpretation
primary_300min_50comp_12wk,met_mean,0.9191,0.0,3,"positive association (monotonic, rank-based; does not imply variance explained)"
primary_300min_50comp_12wk,met_sd,0.172,0.0,5,"positive association (monotonic, rank-based; does not imply variance explained)"
primary_300min_50comp_12wk,adherence_base_mean,0.9196,0.0,2,"positive association (monotonic, rank-based; does not imply variance explained)"
primary_300min_50comp_12wk,adherence_dose_penalty,-0.6375,0.0,4,"negative association (monotonic, rank-based; does not imply variance explained)"
primary_300min_50comp_12wk,rmr_residual_sd,0.0461,0.03922,6,"positive association (monotonic, rank-based; does not imply variance explained)"
primary_300min_50comp_12wk,comp_var,0.0316,0.15832,7,"positive association (monotonic, rank-based; does not imply variance explained)"
primary_300min_50comp_12wk,neat_cap_fraction,0.0138,0.53831,8,"positive association (monotonic, rank-based; does not imply variance explained)"
primary_300min_50comp_12wk,at_cap_fraction,0.0015,0.94718,9,"positive association (monotonic, rank-based; does not imply variance explained)"
primary_300min_50comp_12wk,comp_mean_perturbation,-0.934,0.0,1,"negative association (monotonic, rank-based; does not imply variance explained)"
secondary_450min_50comp_12wk,met_mean,0.9075,0.0,2,"positive association (monotonic, rank-based; does not imply variance explained)"
secondary_450min_50comp_12wk,met_sd,0.1563,0.0,5,"positive association (monotonic, rank-based; does not imply variance explained)"
secondary_450min_50comp_12wk,adherence_base_mean,0.9039,0.0,3,"positive association (monotonic, rank-based; does not imply variance explained)"
secondary_450min_50comp_12wk,adherence_dose_penalty,-0.829,0.0,4,"negative association (monotonic, rank-based; does not imply variance explained)"
secondary_450min_50comp_12wk,rmr_residual_sd,0.0228,0.30778,6,"positive association (monotonic, rank-based; does not imply variance explained)"
secondary_450min_50comp_12wk,comp_var,0.0116,0.6047,8,"positive association (monotonic, rank-based; does not imply variance explained)"
secondary_450min_50comp_12wk,neat_cap_fraction,0.0226,0.31269,7,"positive association (monotonic, rank-based; does not imply variance explained)"
secondary_450min_50comp_12wk,at_cap_fraction,-0.0092,0.6813,9,"negative association (monotonic, rank-based; does not imply variance explained)"
secondary_450min_50comp_12wk,comp_mean_perturbation,-0.9229,0.0,1,"negative association (monotonic, rank-based; does not imply variance explained)"
