psa_iter,duration,dose,comp,mean_fm
0,8,0,0.0,0.0
0,8,0,0.25,0.0
0,8,0,0.5,0.0
0,8,0,0.75,0.0
0,8,75,0.0,0.19505592913264067
0,8,75,0.25,0.14548285181785808
0,8,75,0.5,0.09619750457204591
0,8,75,0.75,0.04907136596326836
0,8,150,0.0,0.38859816810854436
0,8,150,0.25,0.287893981543055
0,8,150,0.5,0.19538838095033095
0,8,150,0.75,0.09458450669048625
0,8,225,0.0,0.5670362335115555
0,8,225,0.25,0.4265780811280874
0,8,225,0.5,0.2820123164495585
0,8,225,0.75,0.14700296504824245
0,8,300,0.0,0.7402451296656694
0,8,300,0.25,0.5477429456254433
0,8,300,0.5,0.3709948558575801
0,8,300,0.75,0.18623029117199463
0,8,375,0.0,0.9050981495840342
0,8,375,0.25,0.665117610624243
0,8,375,0.5,0.44787838534703
0,8,375,0.75,0.2289593801881103
0,8,450,0.0,1.0583424687304293
0,8,450,0.25,0.7865270519661061
0,8,450,0.5,0.5234785124752457
0,8,450,0.75,0.26229263684114756
0,12,0,0.0,0.0
0,12,0,0.25,0.0
0,12,0,0.5,0.0
0,12,0,0.75,0.0
0,12,75,0.0,0.290060915967502
0,12,75,0.25,0.2193363427824765
0,12,75,0.5,0.1446809439596995
0,12,75,0.75,0.07217022725443661
0,12,150,0.0,0.5826737804932434
0,12,150,0.25,0.4415163267853552
0,12,150,0.5,0.2935394000387233
0,12,150,0.75,0.14127681518664667
0,12,225,0.0,0.854169506034126
0,12,225,0.25,0.6392782845939056
0,12,225,0.5,0.4267844134258716
0,12,225,0.75,0.21539500461674374
0,12,300,0.0,1.1006795758051562
0,12,300,0.25,0.8412077520161965
0,12,300,0.5,0.5554308217819361
0,12,300,0.75,0.2781900439178046
0,12,375,0.0,1.3464797568197941
0,12,375,0.25,1.0206361880930306
0,12,375,0.5,0.6989318125260516
0,12,375,0.75,0.34088252211900966
0,12,450,0.0,1.5804465646635295
0,12,450,0.25,1.180072344128769
0,12,450,0.5,0.7753826853965904
0,12,450,0.75,0.4039734446850818
0,16,0,0.0,0.0
0,16,0,0.25,0.0
0,16,0,0.5,0.0
0,16,0,0.75,0.0
0,16,75,0.0,0.3886552824942158
0,16,75,0.25,0.292943675773135
0,16,75,0.5,0.19431292798982294
0,16,75,0.75,0.09676169331222767
0,16,150,0.0,0.7722176663743353
0,16,150,0.25,0.5881009161352238
0,16,150,0.5,0.38618797605564076
0,16,150,0.75,0.1971157387843556
0,16,225,0.0,1.13074948978541
0,16,225,0.25,0.8503742084356845
0,16,225,0.5,0.5609479075354948
0,16,225,0.75,0.2789174854066081
0,16,300,0.0,1.4766978147766465
0,16,300,0.25,1.1016911458046812
0,16,300,0.5,0.7321099675438938
0,16,300,0.75,0.352644214417928
0,16,375,0.0,1.7844466351343198
0,16,375,0.25,1.3355144411709972
0,16,375,0.5,0.90224211160489
0,16,375,0.75,0.46273404986748334
0,16,450,0.0,2.1015697267859244
0,16,450,0.25,1.562410593020741
0,16,450,0.5,1.0565124228026053
0,16,450,0.75,0.524609938129163
0,24,0,0.0,0.0
0,24,0,0.25,0.0
0,24,0,0.5,0.0
0,24,0,0.75,0.0
0,24,75,0.0,0.5782382982440963
0,24,75,0.25,0.4362499017431572
0,24,75,0.5,0.2888442829902194
0,24,75,0.75,0.14945851602192062
0,24,150,0.0,1.1570577702839664
0,24,150,0.25,0.8633287557811948
0,24,150,0.5,0.5762582372687928
0,24,150,0.75,0.3033929182564399
0,24,225,0.0,1.7060744526373228
0,24,225,0.25,1.2696497469228794
0,24,225,0.5,0.8611534994263554
0,24,225,0.75,0.4304348491278064
0,24,300,0.0,2.2082690872828743
0,24,300,0.25,1.6656184520329038
0,24,300,0.5,1.1083921263887195
0,24,300,0.75,0.5500269284023162
0,24,375,0.0,2.7093404260908436
0,24,375,0.25,2.015214312654999
0,24,375,0.5,1.368880242045327
0,24,375,0.75,0.6693473272971943
0,24,450,0.0,3.145386962697642
0,24,450,0.25,2.352094874731577
0,24,450,0.5,1.5741356745590507
0,24,450,0.75,0.7800012820093486
1,8,0,0.0,0.0
1,8,0,0.25,0.0
1,8,0,0.5,0.0
1,8,0,0.75,0.0
1,8,75,0.0,0.21817002726147103
1,8,75,0.25,0.16484767476389414
1,8,75,0.5,0.10965517106364407
1,8,75,0.75,0.05548561204612929
1,8,150,0.0,0.43551899090063195
